genres,item_name,tags,item_id
"['Action', 'Indie']",DinoBlaster,"['Indie', 'Action']",653960
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",282010
['Action'],Half-Life,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",70
"['Action', 'Indie', 'RPG']",Fallen Mage,"['Action', 'RPG', 'Indie']",752360
"['Casual', 'Indie', 'Strategy']",Lost Cities,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']",520680
['Action'],Twisted Enhanced Edition,"['Action', 'Platformer', 'Side Scroller']",690410
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,"['Casual', 'Indie', 'Simulation']",766850
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']",413120
"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,"['Adventure', 'Indie', 'Casual']",773120
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,"['Action', 'Adventure', 'RPG']",754360
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",716110
['Strategy'],Disciples II: Gallean's Return,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",1640
['Strategy'],Disciples II: Rise of the Elves,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",1630
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",2400
['Strategy'],United Tactics,"['Strategy', 'Co-op', 'Turn-Based', 'Tactical', 'War', 'Multiplayer', 'Turn-Based Strategy']",662570
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Life of Rome,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']",381620
"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Idle Adventure,"['Early Access', 'Free to Play', 'Adventure', 'RPG']",714020
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",759920
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']",659780
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,"['Indie', 'Action', 'Adventure', 'RPG']",603280
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",753110
"['Action', 'Indie']",Orbitality,"['Indie', 'Action']",753100
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,"['Action', 'Adventure', 'Casual']",764280
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,"['Adventure', 'Indie', 'Casual', 'Free to Play']",758550
['Action'],Advent Rising,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",3800
"['Indie', 'Strategy']",DEFCON,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",1520
"['Action', 'Indie', 'RPG']",The Ship: Single Player,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",2420
"['Indie', 'Simulation']",Garry's Mod,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",4000
['Racing'],RACE - The WTCC Game,"['Racing', 'Simulation']",4230
"['Casual', 'Indie']",Zen of Sudoku,"['Casual', 'Indie', 'Puzzle']",4900
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,"['Casual', 'Indie', 'Singleplayer']",2520
['Strategy'],Ghost Master®,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",6200
['Strategy'],Vegas: Make It Big™,"['Strategy', 'Simulation', 'Management']",6210
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",6300
['Racing'],FlatOut 2™,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",2990
['Racing'],FlatOut,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",6220
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",6510
['Strategy'],CivCity: Rome,"['Strategy', 'City Builder', 'Simulation', 'Rome']",3980
['RPG'],Arx Fatalis,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",1700
"['Action', 'Adventure', 'RPG']",The Longest Journey,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",6310
['Strategy'],Civilization IV®: Warlords,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",3990
['Strategy'],Railroad Tycoon 3,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",7610
['Strategy'],Sid Meier's Railroads!,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",7600
['Strategy'],Railroad Tycoon II Platinum,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",7620
"['Casual', 'Indie']",RIP - Trilogy™,"['Indie', 'Casual', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']",2540
['Strategy'],X-COM: Terror From the Deep,"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']",7650
"['Action', 'Adventure']",Tomb Raider: Anniversary,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",8000
['Action'],Devil May Cry® 3 Special Edition,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",6550
"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,"['Point & Click', 'Comedy', 'Adventure', 'Detective', 'Mystery', 'Episodic', 'Funny']",8200
['Action'],Final DOOM,"['FPS', 'Action', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']",2290
"['Indie', 'RPG']",Vigil: Blood Bitterness™,"['Indie', 'RPG', 'Puzzle', 'Singleplayer']",2570
"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,"['Adventure', 'Action']",8210
['Action'],Ultimate Doom,"['Classic', 'FPS', 'Action', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']",2280
['Action'],Master Levels for Doom II,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Retro', 'Sci-fi', 'Singleplayer', ""1990's"", 'Gore', 'Zombies', 'Demons', 'Moddable', 'Great Soundtrack', 'Horror', 'Difficult']",9160
['Action'],DOOM II,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']",2300
['Action'],Wolfenstein 3D,"['FPS', 'Classic', 'Action', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']",2270
['Action'],Return to Castle Wolfenstein,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']",9010
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Horror']",9040
['Action'],Spear of Destiny,"['Action', 'FPS', 'Classic', 'World War II', 'Retro', 'Shooter', 'Singleplayer', ""1990's""]",9000
['Action'],BloodRayne,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']",3810
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,"['Action', 'FPS', 'Shooter', 'Classic', 'First-Person']",9030
['Action'],QUAKE,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']",2310
['Strategy'],Genesis Rising,"['Strategy', 'Space', 'Sci-fi', 'RTS']",3230
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Games Workshop', 'Base Building', 'Singleplayer', 'Multiplayer', 'Real-Time', 'Tactical', 'Futuristic', 'Action']",9310
"['Action', 'RPG']",BioShock™,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",7670
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']",4570
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']",4580
['Strategy'],Rome: Total War™ - Collection,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']",4760
['Strategy'],Rome: Total War™ - Alexander,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']",4770
['Casual'],Mystery Case Files: Madame Fate®,"['Casual', 'Hidden Object']",50970
['Action'],Grand Theft Auto,"['Action', 'Classic', 'Open World', 'Singleplayer', '2D', 'Adventure', 'Top-Down', ""1990's""]",12170
['Action'],Grand Theft Auto 2,"['Action', 'Classic', 'Open World', 'Singleplayer', 'Shooter', 'Free to Play', '2D', 'Crime', 'Adventure', 'Violent', 'Gore']",12180
['Action'],Manhunt,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",12130
['Racing'],Midnight Club 2,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",12160
['Action'],Max Payne 2: The Fall of Max Payne,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",12150
"['Action', 'Adventure']",Tomb Raider: Legend,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']",7000
['Action'],Max Payne,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",12140
['Strategy'],Command &amp; Conquer: Red Alert 3,"['Strategy', 'RTS', 'Base Building', 'Multiplayer', 'Co-op', 'Alternate History', 'Sci-fi', 'Co-op Campaign', 'Real-Time', 'Singleplayer', 'Comedy', 'Classic', 'Action', 'Online Co-Op', 'Great Soundtrack', 'FMV', 'War', 'Atmospheric']",17480
['Casual'],PuzzleQuest: Challenge of the Warlords,"['Puzzle', 'Casual', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']",12500
"['RPG', 'Casual', 'Adventure']",Culpa Innata,"['Adventure', 'Sci-fi', 'RPG', 'Casual', 'Female Protagonist', 'Point & Click', 'Cyberpunk', 'Dystopian']",12310
['Strategy'],Prison Tycoon 3™: Lockdown,"['Strategy', 'Simulation']",12510
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,"['Action', 'Adventure', 'Strategy', 'Hunting']",12530
['Racing'],18 Wheels of Steel: American Long Haul,"['Simulation', 'Racing', 'Driving', 'Open World']",12520
['Action'],Conflict: Denied Ops,"['Action', 'FPS', 'Singleplayer', 'Co-op', 'Multiplayer']",8100
['Action'],ARMA: Combat Operations,"['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military']",2780
['Simulation'],Tycoon City: New York,"['Simulation', 'Management', 'City Builder']",9730
['Action'],Desperados 2: Cooper's Revenge,"['Action', 'Western', 'Strategy', 'Tactical']",9710
"['Action', 'Adventure']",Death to Spies,"['Stealth', 'Action', 'Adventure', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']",9800
['Action'],Act of War: High Treason,"['Action', 'Strategy', 'RTS']",9760
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,"['Simulation', 'Management', 'Sandbox', 'Building', 'Strategy', 'Singleplayer', 'Economy', 'Classic', 'Real-Time with Pause', 'Funny', 'Family Friendly', 'Moddable', 'Multiplayer', 'Great Soundtrack', 'Comedy', 'Casual']",2700
['Action'],Act of War: Direct Action,"['Action', 'Strategy', 'RTS']",2710
['Action'],Unreal 2: The Awakening,"['Action', 'FPS', 'Shooter', 'Sci-fi', 'Singleplayer', 'First-Person', 'Classic', 'Multiplayer']",13200
['Action'],Unreal Gold,"['Classic', 'FPS', 'Action', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']",13250
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,"['Indie', 'Casual', 'Ninja']",13000
['Action'],Tom Clancy's Splinter Cell®,"['Stealth', 'Action', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']",13560
['Action'],Far Cry®,"['FPS', 'Action', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']",13520
['Action'],Unreal Tournament: Game of the Year Edition,"['Classic', 'FPS', 'Action', 'Arena Shooter', 'Fast-Paced', 'Multiplayer', 'Great Soundtrack', 'Shooter', 'Competitive', 'Sci-fi', 'First-Person', 'Moddable', 'Singleplayer', 'Gore', 'Co-op', ""1990's"", 'Cyberpunk', 'Atmospheric']",13240
['Action'],Tom Clancy's Rainbow Six® Vegas,"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']",13540
['Simulation'],Silent Hunter® III,"['Simulation', 'Naval', 'World War II', 'Military', 'Historical', 'Open World', 'Action', 'Realistic']",15210
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,"['Casual', 'Simulation']",16180
['Casual'],Mystery P.I.™ - The Vegas Heist,"['Casual', 'Hidden Object']",3520
['Casual'],Luxor,"['Casual', 'Match 3']",15970
['Casual'],Reaxxion,"['Casual', 'Arcade']",15950
['Casual'],Little Farm,"['Casual', 'Agriculture', 'Puzzle', 'Singleplayer']",15960
['Casual'],7 Wonders II,"['Casual', 'Puzzle', 'Match 3', 'Singleplayer']",15900
['Casual'],Luxor Amun Rising,['Casual'],15910
['Casual'],Luxor 3,"['Casual', 'Puzzle']",15930
['Simulation'],Petz® Horsez® 2,"['Simulation', 'Horses', 'Family Friendly', 'Psychological Horror']",15160
['Casual'],Luxor 2,['Casual'],15920
"['Action', 'Adventure']",Rayman Raving Rabbids™,"['Adventure', 'Action', 'Comedy', 'Funny', 'Multiplayer', 'Psychological Horror', 'Singleplayer']",15080
['Simulation'],Silent Hunter®: Wolves of the Pacific,"['Simulation', 'World War II', 'Naval', 'Military']",15200
['Simulation'],IL-2 Sturmovik: 1946,"['Simulation', 'Flight', 'World War II', 'Military', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Action', 'Classic', 'Moddable']",15320
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,"['Simulation', 'World War II', 'Naval']",15240
['Adventure'],Bone: Out From Boneville,"['Adventure', 'Point & Click']",8310
['Racing'],Midnight Outlaw: 6 Hours to SunUp,['Racing'],12600
['Adventure'],Bone: The Great Cow Race,"['Adventure', 'Point & Click']",8320
['Racing'],Sprint Cars Road to Knoxville,['Racing'],12590
['Simulation'],Ride! Carnival Tycoon,"['Simulation', 'Management']",12560
['Casual'],Mahjongg Investigations: Under Suspicion,"['Casual', 'Puzzle']",12540
['Adventure'],Dracula Origin,"['Adventure', 'Point & Click', 'Vampire', 'Puzzle']",11050
['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,['Sports'],10520
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,"['Adventure', 'RPG', 'Point & Click', 'Detective', 'Mystery', 'Puzzle']",11040
"['Adventure', 'Indie']",Eternity's Child,"['Indie', 'Adventure', 'Platformer']",19500
"['Simulation', 'Strategy']",Pacific Storm Allies,"['Simulation', 'Strategy', 'World War II', 'Naval']",11260
"['Action', 'Indie']",Tank Universal,"['Action', 'Indie', 'Tanks', 'Singleplayer', 'Retro', 'Atmospheric', 'Casual', 'Story Rich', 'Great Soundtrack']",19200
['Racing'],FlatOut: Ultimate Carnage,"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']",12360
['Adventure'],Oddworld: Abe's Exoddus®,"['Adventure', 'Platformer', '2D', 'Puzzle', 'Classic', 'Singleplayer', 'Cult Classic', 'Comedy', 'Funny', 'Dark', 'Retro', 'Action', ""1990's"", 'Puzzle-Platformer', 'Stealth']",15710
['Adventure'],Oddworld: Abe's Oddysee®,"['Platformer', 'Adventure', 'Classic', 'Puzzle', '2D', 'Singleplayer', 'Cult Classic', 'Dark', 'Funny', 'Comedy', 'Retro', 'Cinematic', 'Atmospheric', 'Difficult', 'Puzzle-Platformer', 'Action', 'Fantasy']",15700
['Racing'],GTR Evolution Expansion Pack for RACE 07,"['Racing', 'Simulation', 'Driving', 'Multiplayer', 'Singleplayer']",8660
['Strategy'],X-COM: Enforcer,"['Strategy', 'Shooter', 'Action', 'Third-Person Shooter', 'Sci-fi', 'Aliens']",7770
['Strategy'],X-COM: Apocalypse,"['Strategy', 'Sci-fi', 'Tactical', 'Turn-Based', 'Aliens', 'Real-Time with Pause', 'Classic', 'Turn-Based Strategy', 'Isometric', 'Singleplayer', 'Cyberpunk', 'Post-apocalyptic']",7660
['Strategy'],X-COM: UFO Defense,"['Strategy', 'Classic', 'Turn-Based Strategy', 'Sci-fi', 'Turn-Based', 'Tactical', 'Aliens', 'Singleplayer', 'Difficult', 'Turn-Based Tactics', 'Isometric', 'Base Building', 'Simulation', 'Atmospheric', ""1990's"", 'Action', 'Retro', 'Adventure', 'Management', 'Space']",7760
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,"['Open World', 'Atmospheric', 'Post-apocalyptic', 'FPS', 'Survival', 'Action', 'RPG', 'First-Person', 'Shooter', 'Singleplayer', 'Survival Horror', 'Adventure', 'Moddable', 'Sci-fi', 'Horror', 'Classic', 'Multiplayer', 'Zombies', 'Inventory Management', 'Sandbox']",20510
['Action'],Crysis Warhead®,"['Action', 'FPS', 'Sci-fi', 'Shooter', 'Singleplayer', 'Aliens', 'Military', 'First-Person', 'Multiplayer', 'Benchmark', 'Stealth', 'Adventure', 'Open World', 'Futuristic']",17330
['Action'],Crysis,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Stealth', 'Shooter', 'Aliens', 'Open World', 'First-Person', 'Benchmark', 'Multiplayer', 'Futuristic', 'Adventure', 'Atmospheric', 'Story Rich', 'Classic', 'Sandbox', 'Great Soundtrack', 'Destruction', 'Moddable']",17300
['Strategy'],X-COM: Interceptor,"['Strategy', 'Sci-fi', 'Space', 'Flight', 'Space Sim', 'Singleplayer']",7730
