date,title,sentiment_analysis,recommend,release_date
"December 10, 2014",Killing Floor,1,True,2009-05-14
"January 16, 2014",Killing Floor,1,True,2009-05-14
"November 3, 2013",Killing Floor,0,True,2009-05-14
"December 18, 2010",Killing Floor,1,True,2009-05-14
"December 6, 2013",Killing Floor,1,True,2009-05-14
"March 21, 2015",Killing Floor,2,True,2009-05-14
"May 1, 2014",Killing Floor,2,True,2009-05-14
"December 4, 2013",Killing Floor,2,True,2009-05-14
"December 13, 2015",Killing Floor,1,True,2009-05-14
"July 3, 2014",Killing Floor,2,True,2009-05-14
"December 26, 2014",Killing Floor,1,True,2009-05-14
"August 27, 2013",Killing Floor,1,True,2009-05-14
"January 28, 2014",Killing Floor,1,True,2009-05-14
"June 21, 2014",Killing Floor,2,True,2009-05-14
"December 5, 2013",Killing Floor,2,True,2009-05-14
"May 21, 2013",Killing Floor,0,True,2009-05-14
"November 11, 2014",Killing Floor,1,True,2009-05-14
"August 24, 2011",Killing Floor,2,True,2009-05-14
"March 21, 2015",Killing Floor,1,True,2009-05-14
"February 10, 2015",Killing Floor,1,True,2009-05-14
"March 20, 2014",Killing Floor,1,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"May 26, 2014",Killing Floor,2,True,2009-05-14
"December 12, 2013",Killing Floor,1,True,2009-05-14
"December 5, 2013",Killing Floor,1,True,2009-05-14
"July 6, 2015",Killing Floor,1,True,2009-05-14
"July 4, 2014",Killing Floor,1,True,2009-05-14
"November 14, 2014",Killing Floor,1,False,2009-05-14
"March 2, 2015",Killing Floor,1,True,2009-05-14
"July 18, 2014",Killing Floor,1,True,2009-05-14
"December 25, 2013",Killing Floor,2,True,2009-05-14
"July 2, 2014",Killing Floor,0,False,2009-05-14
"May 22, 2015",Killing Floor,2,True,2009-05-14
"December 5, 2013",Killing Floor,1,True,2009-05-14
"November 23, 2013",Killing Floor,2,True,2009-05-14
"November 6, 2014",Killing Floor,1,True,2009-05-14
"December 22, 2013",Killing Floor,1,True,2009-05-14
"July 5, 2014",Killing Floor,1,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"July 11, 2014",Killing Floor,2,True,2009-05-14
"December 31, 2012",Killing Floor,1,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"December 7, 2013",Killing Floor,2,True,2009-05-14
"March 19, 2015",Killing Floor,2,True,2009-05-14
"February 28, 2013",Killing Floor,2,True,2009-05-14
"April 3, 2015",Killing Floor,1,True,2009-05-14
"December 1, 2013",Killing Floor,2,True,2009-05-14
"July 4, 2014",Killing Floor,1,True,2009-05-14
"December 1, 2015",Killing Floor,1,True,2009-05-14
"September 22, 2012",Killing Floor,1,True,2009-05-14
"July 9, 2014",Killing Floor,2,True,2009-05-14
"June 22, 2014",Killing Floor,1,True,2009-05-14
"July 16, 2014",Killing Floor,1,True,2009-05-14
"January 10, 2014",Killing Floor,1,True,2009-05-14
"June 12, 2013",Killing Floor,1,True,2009-05-14
"April 24, 2013",Killing Floor,1,True,2009-05-14
"October 20, 2011",Killing Floor,2,True,2009-05-14
"December 7, 2013",Killing Floor,1,True,2009-05-14
"April 17, 2013",Killing Floor,1,True,2009-05-14
"December 30, 2013",Killing Floor,1,True,2009-05-14
"September 22, 2011",Killing Floor,2,True,2009-05-14
"October 31, 2014",Killing Floor,2,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"June 8, 2014",Killing Floor,1,True,2009-05-14
"July 16, 2013",Killing Floor,1,True,2009-05-14
"November 11, 2014",Killing Floor,1,True,2009-05-14
"June 24, 2014",Killing Floor,2,True,2009-05-14
"February 5, 2014",Killing Floor,1,True,2009-05-14
"April 20, 2011",Killing Floor,1,True,2009-05-14
"January 29, 2014",Killing Floor,2,True,2009-05-14
"March 3, 2014",Killing Floor,2,True,2009-05-14
"March 15, 2013",Killing Floor,2,True,2009-05-14
"March 24, 2014",Killing Floor,1,True,2009-05-14
"August 1, 2014",Killing Floor,2,True,2009-05-14
"January 19, 2013",Killing Floor,1,True,2009-05-14
"October 5, 2014",Killing Floor,1,True,2009-05-14
"January 17, 2014",Killing Floor,2,True,2009-05-14
"February 1, 2015",Killing Floor,1,True,2009-05-14
"November 15, 2013",Killing Floor,1,True,2009-05-14
"January 9, 2015",Killing Floor,2,True,2009-05-14
"March 24, 2014",Killing Floor,2,True,2009-05-14
"October 19, 2014",Killing Floor,1,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"July 15, 2012",Killing Floor,1,True,2009-05-14
"July 19, 2014",Killing Floor,1,True,2009-05-14
"December 26, 2013",Killing Floor,2,True,2009-05-14
"August 31, 2013",Killing Floor,2,True,2009-05-14
"December 29, 2011",Killing Floor,1,True,2009-05-14
"August 12, 2013",Killing Floor,1,True,2009-05-14
"May 14, 2013",Killing Floor,1,True,2009-05-14
"March 10, 2011",Killing Floor,1,True,2009-05-14
"July 14, 2013",Killing Floor,1,True,2009-05-14
"December 29, 2013",Killing Floor,1,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"December 5, 2014",Killing Floor,1,True,2009-05-14
"March 24, 2012",Killing Floor,1,True,2009-05-14
"October 15, 2014",Killing Floor,1,True,2009-05-14
"December 7, 2013",Killing Floor,1,True,2009-05-14
"April 10, 2014",Killing Floor,1,True,2009-05-14
"December 27, 2013",Killing Floor,1,True,2009-05-14
"March 2, 2013",Killing Floor,1,True,2009-05-14
"January 16, 2013",Killing Floor,2,True,2009-05-14
"December 3, 2013",Killing Floor,1,True,2009-05-14
"December 20, 2013",Killing Floor,1,True,2009-05-14
"December 24, 2012",Killing Floor,2,True,2009-05-14
"September 30, 2015",Killing Floor,1,True,2009-05-14
"April 28, 2015",Killing Floor,0,True,2009-05-14
"October 19, 2014",Killing Floor,1,True,2009-05-14
"April 13, 2014",Killing Floor,1,True,2009-05-14
"July 19, 2013",Killing Floor,1,True,2009-05-14
"February 22, 2015",Killing Floor,1,True,2009-05-14
"August 30, 2014",Killing Floor,1,True,2009-05-14
"March 23, 2014",Killing Floor,1,True,2009-05-14
"December 18, 2013",Killing Floor,1,True,2009-05-14
"September 27, 2013",Killing Floor,2,True,2009-05-14
"April 22, 2014",Killing Floor,1,True,2009-05-14
"July 5, 2011",Killing Floor,1,True,2009-05-14
"April 27, 2012",Killing Floor,2,True,2009-05-14
"October 16, 2014",Killing Floor,1,True,2009-05-14
"October 24, 2014",Killing Floor,1,True,2009-05-14
"February 19, 2014",Killing Floor,1,True,2009-05-14
"December 13, 2013",Killing Floor,1,True,2009-05-14
"August 13, 2013",Killing Floor,1,True,2009-05-14
"August 10, 2012",Killing Floor,1,True,2009-05-14
"October 18, 2014",Killing Floor,2,True,2009-05-14
"December 31, 2011",Killing Floor,1,True,2009-05-14
,Killing Floor,2,True,2009-05-14
"November 25, 2013",Killing Floor,2,True,2009-05-14
"December 8, 2013",Killing Floor,2,True,2009-05-14
"May 28, 2014",Killing Floor,2,True,2009-05-14
"December 19, 2013",Killing Floor,2,True,2009-05-14
"January 3, 2015",Killing Floor,2,True,2009-05-14
"December 18, 2010",Killing Floor,2,True,2009-05-14
"February 9, 2015",Killing Floor,2,True,2009-05-14
"September 16, 2011",Killing Floor,1,True,2009-05-14
"July 13, 2013",Killing Floor,1,True,2009-05-14
"December 20, 2014",Killing Floor,0,True,2009-05-14
"January 6, 2014",Killing Floor,2,True,2009-05-14
"November 14, 2012",Killing Floor,1,True,2009-05-14
"July 21, 2014",Killing Floor,2,True,2009-05-14
"May 9, 2011",Killing Floor,1,True,2009-05-14
"June 28, 2014",Killing Floor,0,True,2009-05-14
"December 8, 2013",Killing Floor,1,True,2009-05-14
"December 3, 2010",Killing Floor,1,True,2009-05-14
"December 26, 2013",Killing Floor,1,True,2009-05-14
"July 10, 2011",Killing Floor,1,True,2009-05-14
"July 14, 2012",Killing Floor,2,True,2009-05-14
"April 8, 2015",Killing Floor,1,True,2009-05-14
,Killing Floor,2,True,2009-05-14
"July 7, 2011",Killing Floor,2,True,2009-05-14
"July 9, 2014",Killing Floor,1,True,2009-05-14
"December 14, 2010",Killing Floor,1,True,2009-05-14
"December 14, 2014",Killing Floor,1,True,2009-05-14
"July 22, 2011",Killing Floor,2,True,2009-05-14
"January 15, 2013",Killing Floor,0,True,2009-05-14
"December 27, 2013",Killing Floor,0,True,2009-05-14
"February 25, 2014",Killing Floor,2,True,2009-05-14
"January 4, 2014",Killing Floor,0,True,2009-05-14
"October 19, 2014",Killing Floor,1,True,2009-05-14
"December 27, 2013",Killing Floor,0,True,2009-05-14
"November 27, 2013",Killing Floor,1,True,2009-05-14
"December 27, 2013",Killing Floor,1,True,2009-05-14
"December 27, 2013",Killing Floor,1,True,2009-05-14
"November 15, 2014",Killing Floor,0,True,2009-05-14
"July 10, 2014",Killing Floor,1,True,2009-05-14
"May 24, 2014",Killing Floor,1,True,2009-05-14
"May 23, 2015",Killing Floor,1,True,2009-05-14
"October 24, 2014",Killing Floor,2,True,2009-05-14
"March 10, 2014",Killing Floor,2,True,2009-05-14
"July 7, 2014",Killing Floor,1,True,2009-05-14
"June 25, 2014",Killing Floor,0,True,2009-05-14
"February 16, 2012",Killing Floor,1,True,2009-05-14
"July 27, 2015",Killing Floor,1,True,2009-05-14
"March 4, 2013",Killing Floor,1,True,2009-05-14
"December 11, 2014",Killing Floor,0,True,2009-05-14
"July 17, 2012",Killing Floor,0,True,2009-05-14
"February 6, 2015",Killing Floor,1,True,2009-05-14
"March 20, 2015",Killing Floor,1,True,2009-05-14
"November 1, 2014",Killing Floor,1,True,2009-05-14
"June 20, 2014",Killing Floor,1,True,2009-05-14
"October 31, 2014",Killing Floor,2,True,2009-05-14
"December 8, 2013",Killing Floor,1,True,2009-05-14
"August 18, 2014",Killing Floor,1,True,2009-05-14
"June 29, 2014",Killing Floor,1,True,2009-05-14
"July 11, 2014",Killing Floor,2,True,2009-05-14
"August 15, 2015",Killing Floor,1,True,2009-05-14
"December 27, 2014",Killing Floor,1,True,2009-05-14
"November 19, 2013",Killing Floor,1,True,2009-05-14
"December 8, 2013",Killing Floor,1,True,2009-05-14
"December 7, 2014",Killing Floor,2,True,2009-05-14
"November 8, 2013",Killing Floor,2,True,2009-05-14
"February 28, 2014",Killing Floor,1,True,2009-05-14
"July 9, 2014",Killing Floor,1,True,2009-05-14
"December 29, 2013",Killing Floor,2,True,2009-05-14
"August 30, 2014",Killing Floor,1,True,2009-05-14
"January 19, 2013",Killing Floor,1,True,2009-05-14
"November 30, 2013",Killing Floor,2,True,2009-05-14
"November 13, 2013",Killing Floor,1,True,2009-05-14
"March 23, 2015",Killing Floor,2,True,2009-05-14
"June 22, 2014",Killing Floor,2,True,2009-05-14
"July 6, 2014",Killing Floor,2,True,2009-05-14
"December 6, 2014",Killing Floor,1,False,2009-05-14
"December 27, 2015",Killing Floor,0,False,2009-05-14
"December 6, 2013",Killing Floor,1,True,2009-05-14
,Killing Floor,2,True,2009-05-14
"January 11, 2014",Killing Floor,1,True,2009-05-14
"April 2, 2015",Killing Floor,1,True,2009-05-14
"February 14, 2014",Killing Floor,1,True,2009-05-14
"December 28, 2013",Killing Floor,2,True,2009-05-14
"December 2, 2014",Killing Floor,1,True,2009-05-14
"March 21, 2015",Killing Floor,1,True,2009-05-14
"October 16, 2014",Killing Floor,1,True,2009-05-14
"November 8, 2012",Killing Floor,0,True,2009-05-14
"December 19, 2013",Killing Floor,1,True,2009-05-14
"June 28, 2014",Killing Floor,1,True,2009-05-14
"October 21, 2015",Killing Floor,2,True,2009-05-14
"October 2, 2014",Killing Floor,2,True,2009-05-14
"July 11, 2014",Killing Floor,1,True,2009-05-14
"January 20, 2014",Killing Floor,2,True,2009-05-14
"December 28, 2013",Killing Floor,2,True,2009-05-14
"July 19, 2014",Killing Floor,1,True,2009-05-14
"September 12, 2013",Killing Floor,0,True,2009-05-14
"July 16, 2014",Killing Floor,2,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"July 11, 2014",Killing Floor,2,True,2009-05-14
"January 25, 2014",Killing Floor,1,True,2009-05-14
"July 15, 2015",Killing Floor,2,True,2009-05-14
"February 8, 2014",Killing Floor,1,True,2009-05-14
"April 18, 2014",Killing Floor,0,True,2009-05-14
"April 1, 2014",Killing Floor,1,True,2009-05-14
"December 28, 2013",Killing Floor,0,True,2009-05-14
"December 21, 2014",Killing Floor,1,True,2009-05-14
"June 13, 2014",Killing Floor,1,True,2009-05-14
"March 23, 2014",Killing Floor,1,True,2009-05-14
"July 29, 2014",Killing Floor,1,True,2009-05-14
"March 17, 2014",Killing Floor,1,False,2009-05-14
"March 20, 2014",Killing Floor,1,True,2009-05-14
"November 29, 2013",Killing Floor,1,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"July 24, 2014",Killing Floor,1,True,2009-05-14
"December 3, 2014",Killing Floor,0,True,2009-05-14
"November 6, 2014",Killing Floor,1,True,2009-05-14
"October 17, 2014",Killing Floor,2,True,2009-05-14
"November 2, 2013",Killing Floor,1,True,2009-05-14
"December 11, 2013",Killing Floor,1,True,2009-05-14
"December 12, 2014",Killing Floor,1,True,2009-05-14
"July 6, 2014",Killing Floor,1,True,2009-05-14
"September 30, 2014",Killing Floor,1,True,2009-05-14
"July 15, 2011",Zeno Clash,2,True,2009-04-21
"July 1, 2011",Zeno Clash,1,True,2009-04-21
"July 16, 2011",Zeno Clash,1,True,2009-04-21
"November 25, 2013",Zeno Clash,2,True,2009-04-21
"January 5, 2015",Zeno Clash,1,True,2009-04-21
"February 11, 2012",Zeno Clash,2,True,2009-04-21
"September 8, 2013",Euro Truck Simulator 2,1,True,2013-01-16
,Euro Truck Simulator 2,2,True,2013-01-16
,Euro Truck Simulator 2,1,True,2013-01-16
"July 8, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"June 23, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"December 1, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"August 3, 2015",Euro Truck Simulator 2,1,True,2013-01-16
,Euro Truck Simulator 2,0,False,2013-01-16
"March 22, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"March 30, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"June 23, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"December 28, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"December 21, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"October 25, 2015",Euro Truck Simulator 2,0,True,2013-01-16
"May 4, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"December 27, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"August 5, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"March 10, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"December 31, 2013",Euro Truck Simulator 2,2,True,2013-01-16
,Euro Truck Simulator 2,1,True,2013-01-16
"December 26, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"January 1, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"November 29, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"December 31, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"December 12, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"December 20, 2013",Euro Truck Simulator 2,2,True,2013-01-16
"May 25, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"March 4, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"March 10, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"September 8, 2014",Euro Truck Simulator 2,1,True,2013-01-16
,Euro Truck Simulator 2,2,True,2013-01-16
"December 21, 2014",Euro Truck Simulator 2,2,True,2013-01-16
,Euro Truck Simulator 2,0,True,2013-01-16
"February 6, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"January 2, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"April 12, 2014",Euro Truck Simulator 2,2,True,2013-01-16
,Euro Truck Simulator 2,1,True,2013-01-16
"May 7, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"December 12, 2013",Euro Truck Simulator 2,0,True,2013-01-16
"November 6, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"September 8, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"June 19, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"January 28, 2014",Euro Truck Simulator 2,0,True,2013-01-16
"December 29, 2013",Euro Truck Simulator 2,1,True,2013-01-16
"September 29, 2015",Euro Truck Simulator 2,2,True,2013-01-16
,Euro Truck Simulator 2,1,True,2013-01-16
"September 30, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"January 13, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"December 31, 2013",Euro Truck Simulator 2,1,True,2013-01-16
"June 25, 2014",Euro Truck Simulator 2,0,True,2013-01-16
"August 6, 2014",Euro Truck Simulator 2,2,True,2013-01-16
,Euro Truck Simulator 2,1,True,2013-01-16
"December 19, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"December 13, 2013",Euro Truck Simulator 2,1,True,2013-01-16
"August 7, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"February 23, 2014",Euro Truck Simulator 2,0,True,2013-01-16
"January 1, 2015",Euro Truck Simulator 2,0,True,2013-01-16
"June 13, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"June 13, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"January 3, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"May 28, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"July 10, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"January 25, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"April 10, 2015",Euro Truck Simulator 2,2,True,2013-01-16
,Euro Truck Simulator 2,2,True,2013-01-16
"December 21, 2014",Euro Truck Simulator 2,1,True,2013-01-16
,Euro Truck Simulator 2,2,True,2013-01-16
,Euro Truck Simulator 2,1,True,2013-01-16
"March 10, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"June 11, 2013",Euro Truck Simulator 2,1,True,2013-01-16
"June 24, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"December 19, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"October 8, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"February 3, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"December 26, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"January 9, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"September 5, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"January 10, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"June 24, 2014",Euro Truck Simulator 2,0,True,2013-01-16
"January 21, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"June 8, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"August 6, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"December 9, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"June 24, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"July 17, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"September 13, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"January 5, 2015",Euro Truck Simulator 2,1,False,2013-01-16
"November 12, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"July 28, 2015",Euro Truck Simulator 2,1,True,2013-01-16
,Euro Truck Simulator 2,1,True,2013-01-16
,Euro Truck Simulator 2,1,True,2013-01-16
"December 26, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"May 11, 2013",Euro Truck Simulator 2,2,True,2013-01-16
"November 27, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"December 14, 2015",Euro Truck Simulator 2,1,True,2013-01-16
"September 30, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"August 3, 2014",Euro Truck Simulator 2,2,True,2013-01-16
"July 18, 2013",Euro Truck Simulator 2,2,True,2013-01-16
"December 17, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"December 20, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"April 13, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"November 5, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"June 27, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"August 18, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"June 23, 2014",Euro Truck Simulator 2,1,True,2013-01-16
"May 15, 2015",Euro Truck Simulator 2,2,True,2013-01-16
"November 29, 2013","Papers, Please",1,True,2013-08-08
"April 28, 2015","Papers, Please",2,True,2013-08-08
"June 7, 2015","Papers, Please",1,True,2013-08-08
"February 13, 2015","Papers, Please",1,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
"December 1, 2014","Papers, Please",1,True,2013-08-08
"November 16, 2014","Papers, Please",1,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
"August 12, 2014","Papers, Please",1,True,2013-08-08
"March 29, 2014","Papers, Please",1,True,2013-08-08
"October 31, 2014","Papers, Please",1,True,2013-08-08
"July 4, 2014","Papers, Please",2,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
"December 15, 2014","Papers, Please",1,True,2013-08-08
"August 11, 2014","Papers, Please",2,True,2013-08-08
"October 19, 2014","Papers, Please",1,True,2013-08-08
"December 22, 2015","Papers, Please",1,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
"December 17, 2013","Papers, Please",1,True,2013-08-08
,"Papers, Please",2,True,2013-08-08
"August 15, 2014","Papers, Please",1,True,2013-08-08
"June 20, 2014","Papers, Please",0,True,2013-08-08
"March 4, 2014","Papers, Please",1,True,2013-08-08
"March 30, 2015","Papers, Please",1,True,2013-08-08
"June 17, 2014","Papers, Please",2,True,2013-08-08
"November 29, 2013","Papers, Please",1,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
"July 8, 2014","Papers, Please",2,True,2013-08-08
"December 30, 2013","Papers, Please",1,True,2013-08-08
"July 28, 2015","Papers, Please",1,True,2013-08-08
"April 17, 2015","Papers, Please",1,True,2013-08-08
"August 14, 2013","Papers, Please",2,True,2013-08-08
"May 14, 2014","Papers, Please",1,True,2013-08-08
"December 30, 2013","Papers, Please",1,True,2013-08-08
"April 14, 2014","Papers, Please",1,True,2013-08-08
"November 24, 2014","Papers, Please",1,True,2013-08-08
"July 8, 2014","Papers, Please",1,True,2013-08-08
"September 12, 2014","Papers, Please",2,True,2013-08-08
"January 11, 2014","Papers, Please",2,True,2013-08-08
"November 28, 2013","Papers, Please",1,True,2013-08-08
"August 10, 2014","Papers, Please",1,True,2013-08-08
"August 22, 2015","Papers, Please",0,True,2013-08-08
"December 23, 2014","Papers, Please",1,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
"December 25, 2013","Papers, Please",2,True,2013-08-08
"January 4, 2015","Papers, Please",1,True,2013-08-08
"December 1, 2014","Papers, Please",1,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
"September 9, 2015","Papers, Please",1,True,2013-08-08
"October 16, 2014","Papers, Please",1,True,2013-08-08
"December 27, 2013","Papers, Please",2,True,2013-08-08
"January 9, 2014","Papers, Please",1,True,2013-08-08
"November 30, 2013","Papers, Please",1,True,2013-08-08
"November 30, 2013","Papers, Please",1,True,2013-08-08
"January 6, 2014","Papers, Please",1,True,2013-08-08
"July 5, 2014","Papers, Please",1,True,2013-08-08
"December 27, 2014","Papers, Please",1,True,2013-08-08
"May 4, 2014","Papers, Please",1,False,2013-08-08
"June 24, 2014","Papers, Please",1,True,2013-08-08
,"Papers, Please",1,True,2013-08-08
"March 20, 2014","Papers, Please",2,True,2013-08-08
"November 30, 2014","Papers, Please",2,False,2013-08-08
,"Papers, Please",1,True,2013-08-08
